#LOG_FORMAT=1
#LOGID=2
#LOGIV=
#"","20190129094257","CubeSerialized: }StatsByCube: by *"
#"","20190129094257","CubeSerialized: }StatsByClient: by *"
#"","20190129094257","CubeSerialized: }StatsForServer: by *"
#"","20190129094257","CubeSerialized: }StatsByCubeByClient: by *"
#"","20190129094257","CubeSerialized: }StatsByProcess: by *"
#"","20190129094257","CubeSerialized: }StatsByChore: by *"
"","20190129094257","20190129094257","*","S","","ADMIN","}ClientGroups","Admin","ADMIN",""
#"","20190129094257","CubeSerialized: }ClientGroups: by *"
#"","20190129094257","CubeSerialized: }ClientProperties: by *"
#"","20190130021257","CubeSerialized: }DimensionProperties: by Admin"
#"","20190130021257","CubeSerialized: }ElementAttributes_Products: by Admin"
"","20190130021257","20190130021257","Admin","S","","Chang","}ElementAttributes_Products","P-2","Caption",""
"","20190130021257","20190130021257","Admin","S","","Vegie-spread","}ElementAttributes_Products","P-63","Caption",""
"","20190130021257","20190130021257","Admin","S","","Dairy Products","}ElementAttributes_Products","C-4","Caption",""
"","20190130021257","20190130021257","Admin","S","","Tunnbröd","}ElementAttributes_Products","P-23","Caption",""
"","20190130021257","20190130021257","Admin","S","","Meat/Poultry","}ElementAttributes_Products","C-6","Caption",""
"","20190130021257","20190130021257","Admin","S","","Tofu","}ElementAttributes_Products","P-14","Caption",""
"","20190130021257","20190130021257","Admin","S","","Original Frankfurter grüne Soße","}ElementAttributes_Products","P-77","Caption",""
"","20190130021257","20190130021257","Admin","S","","Singaporean Hokkien Fried Mee","}ElementAttributes_Products","P-42","Caption",""
"","20190130021257","20190130021257","Admin","S","","Genen Shouyu","}ElementAttributes_Products","P-15","Caption",""
"","20190130021257","20190130021257","Admin","S","","Gula Malacca","}ElementAttributes_Products","P-44","Caption",""
"","20190130021257","20190130021257","Admin","S","","Tarte au sucre","}ElementAttributes_Products","P-62","Caption",""
"","20190130021257","20190130021257","Admin","S","","Grains/Cereals","}ElementAttributes_Products","C-5","Caption",""
"","20190130021257","20190130021257","Admin","S","","Jack's New England Clam Chowder","}ElementAttributes_Products","P-41","Caption",""
"","20190130021257","20190130021257","Admin","S","","Guaraná Fantástica","}ElementAttributes_Products","P-24","Caption",""
"","20190130021257","20190130021257","Admin","S","","Rhönbräu Klosterbier","}ElementAttributes_Products","P-75","Caption",""
"","20190130021257","20190130021257","Admin","S","","Schoggi Schokolade","}ElementAttributes_Products","P-27","Caption",""
"","20190130021257","20190130021257","Admin","S","","Camembert Pierrot","}ElementAttributes_Products","P-60","Caption",""
"","20190130021257","20190130021257","Admin","S","","Sir Rodney's Marmalade","}ElementAttributes_Products","P-20","Caption",""
"","20190130021257","20190130021257","Admin","S","","Chai","}ElementAttributes_Products","P-1","Caption",""
"","20190130021257","20190130021257","Admin","S","","Condiments","}ElementAttributes_Products","C-2","Caption",""
"","20190130021257","20190130021257","Admin","S","","Chef Anton's Cajun Seasoning","}ElementAttributes_Products","P-4","Caption",""
"","20190130021257","20190130021257","Admin","S","","Scottish Longbreads","}ElementAttributes_Products","P-68","Caption",""
"","20190130021257","20190130021257","Admin","S","","Mozzarella di Giovanni","}ElementAttributes_Products","P-72","Caption",""
"","20190130021257","20190130021257","Admin","S","","Alice Mutton","}ElementAttributes_Products","P-17","Caption",""
"","20190130021257","20190130021257","Admin","S","","Rössle Sauerkraut","}ElementAttributes_Products","P-28","Caption",""
"","20190130021257","20190130021257","Admin","S","","Grandma's Boysenberry Spread","}ElementAttributes_Products","P-6","Caption",""
"","20190130021257","20190130021257","Admin","S","","Louisiana Hot Spiced Okra","}ElementAttributes_Products","P-66","Caption",""
"","20190130021257","20190130021257","Admin","S","","Teatime Chocolate Biscuits","}ElementAttributes_Products","P-19","Caption",""
"","20190130021257","20190130021257","Admin","S","","Queso Cabrales","}ElementAttributes_Products","P-11","Caption",""
"","20190130021257","20190130021257","Admin","S","","Mascarpone Fabioli","}ElementAttributes_Products","P-32","Caption",""
"","20190130021257","20190130021257","Admin","S","","Raclette Courdavault","}ElementAttributes_Products","P-59","Caption",""
"","20190130021257","20190130021257","Admin","S","","Produce","}ElementAttributes_Products","C-7","Caption",""
"","20190130021257","20190130021257","Admin","S","","Pavlova","}ElementAttributes_Products","P-16","Caption",""
"","20190130021257","20190130021257","Admin","S","","Gustaf's Knäckebröd","}ElementAttributes_Products","P-22","Caption",""
"","20190130021257","20190130021257","Admin","S","","Rogede sild","}ElementAttributes_Products","P-45","Caption",""
"","20190130021257","20190130021257","Admin","S","","Röd Kaviar","}ElementAttributes_Products","P-73","Caption",""
"","20190130021257","20190130021257","Admin","S","","Chartreuse verte","}ElementAttributes_Products","P-39","Caption",""
"","20190130021257","20190130021257","Admin","S","","Flotemysost","}ElementAttributes_Products","P-71","Caption",""
"","20190130021257","20190130021257","Admin","S","","Wimmers gute Semmelknödel","}ElementAttributes_Products","P-64","Caption",""
"","20190130021257","20190130021257","Admin","S","","Pâté chinois","}ElementAttributes_Products","P-55","Caption",""
"","20190130021257","20190130021257","Admin","S","","Seafood","}ElementAttributes_Products","C-8","Caption",""
"","20190130021257","20190130021257","Admin","S","","Gravad lax","}ElementAttributes_Products","P-37","Caption",""
"","20190130021257","20190130021257","Admin","S","","Escargots de Bourgogne","}ElementAttributes_Products","P-58","Caption",""
"","20190130021257","20190130021257","Admin","S","","Ipoh Coffee","}ElementAttributes_Products","P-43","Caption",""
"","20190130021257","20190130021257","Admin","S","","Valkoinen suklaa","}ElementAttributes_Products","P-50","Caption",""
"","20190130021257","20190130021257","Admin","S","","Uncle Bob's Organic Dried Pears","}ElementAttributes_Products","P-7","Caption",""
"","20190130021257","20190130021257","Admin","S","","Spegesild","}ElementAttributes_Products","P-46","Caption",""
"","20190130021257","20190130021257","Admin","S","","Steeleye Stout","}ElementAttributes_Products","P-35","Caption",""
"","20190130021257","20190130021257","Admin","S","","Côte de Blaye","}ElementAttributes_Products","P-38","Caption",""
"","20190130021257","20190130021257","Admin","S","","Aniseed Syrup","}ElementAttributes_Products","P-3","Caption",""
